,Unnamed: 0,lat,lon,timestamp,amenity,name,brand:wikidata,cuisine,brand,chain_name,city,cluster
799,799,49.1330626,-123.0233446,2019-11-20T12:19:06.000-08:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Delta,-1
800,800,49.0492419,-122.3007789,2019-11-07T06:07:32.000-08:00,fast_food,Panago,Q17111672,pizza,Panago,Panago,Abbotsford,14
801,801,49.0385365,-122.2935247,2019-09-02T22:08:25.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Abbotsford,22
802,802,49.2746568,-122.7909967,2019-09-13T13:56:49.000-07:00,restaurant,Cora,Q2996960,breakfast,Cora,Cora,Coquitlam,21
803,803,49.2859088,-123.1119662,2020-01-23T06:04:00.000-08:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Vancouver,0
804,804,49.0505395,-122.3228004,2019-09-02T22:08:25.000-07:00,fast_food,Pita Pit,Q7757289,pita,Pita Pit,Pita Pit,Abbotsford,14
805,805,49.276624,-122.794802,2019-10-27T17:08:25.000-07:00,ice_cream,Marble Slab Creamery,Q17020087,ice_cream,Marble Slab Creamery,Marble Slab Creamery,Coquitlam,21
806,806,49.2637294,-123.2115251,2019-10-29T03:23:55.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Vancouver,-1
807,807,49.2643151,-123.173779,2019-10-29T03:23:55.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Vancouver,0
808,808,49.1321141,-123.0946175,2019-08-24T15:12:34.000-07:00,fast_food,Booster Juice,Q4943796,juice,Booster Juice,Booster Juice,Richmond,4
809,809,49.1321211,-123.0952282,2020-01-15T21:08:34.000-08:00,fast_food,Five Guys,Q1131810,burger,Five Guys,Five Guys,Richmond,4
810,810,49.1789598,-123.131312,2019-09-13T13:57:05.000-07:00,cafe,Chatime,Q16829306,bubble_tea,Chatime,Chatime,Richmond,26
811,811,49.1981032,-122.9791138,2019-09-11T03:48:59.000-07:00,fast_food,Mucho Burrito,Q65148332,mexican,Mucho Burrito,Mucho Burrito,Burnaby,35
812,812,49.2756694,-122.7944127,2019-04-07T19:33:26.000-07:00,restaurant,Boston Pizza,Q894578,pizza,Boston Pizza,Boston Pizza,Coquitlam,21
813,813,49.280165,-122.7994621,2020-03-14T03:26:42.000-07:00,fast_food,KFC-Taco Bell,Q524757,chicken;tacos,KFC,KFC-Taco Bell,Coquitlam,21
814,814,49.2758814,-122.7909785,2020-03-09T01:33:57.000-07:00,restaurant,Pizza Hut,Q191615,pizza,Pizza Hut,Pizza Hut,Coquitlam,21
