,lat,lon,timestamp,amenity,name,brand:wikidata,cuisine,brand,chain_name,city
257,49.2781282,-122.8112429,2019-09-23T20:17:12.000-07:00,fast_food,Burger King,Q177054,burger,Burger King,Burger King,Coquitlam
258,49.2782009,-122.8115542,2019-09-23T20:17:12.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Coquitlam
259,49.2352507,-123.1557393,2019-09-24T19:58:50.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Vancouver
260,49.2346965,-123.1564381,2019-12-26T22:15:17.000-08:00,restaurant,Jinya Ramen Bar,Q16997755,ramen,Jinya Ramen Bar,Jinya Ramen Bar,Vancouver
261,49.263878,-123.205001,2019-09-13T13:57:04.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Vancouver
262,49.2639234,-123.2061777,2019-09-13T13:57:04.000-07:00,cafe,Tim Hortons,Q175106,coffee_shop,Tim Hortons,Tim Hortons,Vancouver
263,49.2637428,-123.2104101,2019-09-13T13:57:04.000-07:00,restaurant,Pizza Hut,Q191615,pizza,Pizza Hut,Pizza Hut,Vancouver
264,49.2676308,-123.0035092,2019-09-13T13:57:04.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Burnaby
265,49.2630462,-123.1159688,2019-08-29T17:44:11.000-07:00,fast_food,Chipotle,Q465751,mexican,Chipotle,Chipotle,Vancouver
266,49.2676145,-123.0035285,2019-06-17T23:24:29.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Burnaby
267,49.3069368,-122.9533963,2019-05-29T10:13:32.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,None
268,49.2608512,-123.1161648,2019-08-29T17:44:11.000-07:00,fast_food,A&W,Q2818848,burger,A&W,A&W,Vancouver
269,49.2393218,-122.9635447,2020-02-04T05:52:09.000-08:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Burnaby
270,49.0375485,-122.8009329,2019-09-13T13:57:05.000-07:00,restaurant,Boston Pizza,Q894578,pizza,Boston Pizza,Boston Pizza,Surrey
271,49.0396209,-122.8015846,2019-09-13T13:57:05.000-07:00,fast_food,Dairy Queen,Q1141226,ice_cream,Dairy Queen,Dairy Queen,Surrey
272,49.0450983,-122.8008017,2019-09-13T13:57:05.000-07:00,fast_food,Pizza Pizza,Q1194143,pizza,Pizza Pizza,Pizza Pizza,Surrey
273,49.0463697,-122.8016813,2019-09-13T13:57:05.000-07:00,restaurant,IHOP,Q1185675,pancake,IHOP,IHOP,Surrey
274,49.0481897,-122.7832772,2019-12-10T19:52:01.000-08:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Surrey
275,49.0451866,-122.7781347,2019-09-13T13:57:05.000-07:00,restaurant,Freshii,Q5503051,salad,Freshii,Freshii,Surrey
276,49.0431711,-122.7802231,2019-09-13T13:57:05.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Surrey
277,49.0430859,-122.7797305,2019-09-13T13:57:05.000-07:00,fast_food,Papa John's,Q2759586,pizza,Papa John's,Papa John's,Surrey
278,49.0427677,-122.7797381,2019-09-13T13:57:05.000-07:00,ice_cream,Marble Slab Creamery,Q17020087,ice_cream,Marble Slab Creamery,Marble Slab Creamery,Surrey
279,49.1374505,-122.8907988,2019-09-13T13:57:02.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Delta
280,49.1992381,-122.9792371,2020-01-03T06:33:13.000-08:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Burnaby
281,49.2818319,-123.1234128,2019-08-29T17:57:11.000-07:00,restaurant,Boston Pizza,Q894578,pizza,Boston Pizza,Boston Pizza,Vancouver
282,49.2916513,-123.1354557,2019-08-29T18:02:26.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Vancouver
283,49.2639753,-123.1713499,2019-06-08T06:31:22.000-07:00,fast_food,Quiznos,Q1936229,sandwich,Quiznos,Quiznos,Vancouver
284,49.2632444,-123.1255405,2019-08-29T18:18:41.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Vancouver
285,49.2628323,-123.1032243,2020-06-15T16:20:22.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Vancouver
286,49.2628756,-123.0695249,2019-07-31T07:15:43.000-07:00,fast_food,Booster Juice,Q4943796,juice,Booster Juice,Booster Juice,Vancouver
287,49.2266714,-123.0905213,2019-11-07T19:56:30.000-08:00,fast_food,Freshslice Pizza,Q5503082,pizza,Freshslice Pizza,Freshslice Pizza,Vancouver
288,49.2110929,-123.1407058,2019-05-29T17:48:57.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Vancouver
289,49.2846244,-123.1218388,2019-08-16T20:28:53.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Vancouver
290,49.0365002,-122.2912574,2019-06-17T23:11:39.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Abbotsford
291,49.2812021,-122.9998854,2019-04-13T20:23:51.000-07:00,fast_food,A&W,Q2818848,burger,A&W,A&W,Burnaby
292,49.2652176,-123.2507822,2019-05-29T17:24:51.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Electoral Area A
293,49.1326321,-123.0931064,2019-08-24T15:12:34.000-07:00,ice_cream,Marble Slab Creamery,Q17020087,ice_cream,Marble Slab Creamery,Marble Slab Creamery,Richmond
294,49.1838653,-123.0929638,2019-12-29T14:19:19.000-08:00,fast_food,Domino's,Q839466,pizza,Domino's,Domino's,Richmond
295,49.1838703,-123.0933981,2019-12-29T14:19:19.000-08:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Richmond
296,49.3338382,-123.0384328,2019-07-07T22:34:44.000-07:00,cafe,Tim Hortons,Q175106,coffee_shop,Tim Hortons,Tim Hortons,None
297,49.197642,-123.1745765,2019-09-14T05:00:22.000-07:00,cafe,Tim Hortons,Q175106,coffee_shop,Tim Hortons,Tim Hortons,Richmond
